reference,categorie,nom,description,longueur_cm,largeur_cm,capacite_personnes,couleur,gamme,prix_achat_ht,prix_vente_ht,stock,mots_cles
BUR-0001,bureau,Bureau Bench,"Bureau Bench standard, finition blanc, 180 x 80 cm",180,80,,blanc,standard,180,330,37,bureau travail professionnel poste individuel blanc standard
BUR-0002,bureau,Bureau Compact,"Bureau Compact standard, finition noir, 120 x 70 cm",120,70,,noir,standard,195,350,8,bureau travail professionnel poste individuel noir standard
BUR-0003,bureau,Bureau Direction,"Bureau Direction standard, finition noir, 120 x 70 cm",120,70,,noir,standard,170,295,6,bureau travail professionnel poste individuel noir standard
BUR-0004,bureau,Bureau Compact,"Bureau Compact standard, finition blanc, 120 x 70 cm",120,70,,blanc,standard,185,325,17,bureau travail professionnel poste individuel blanc standard
BUR-0005,bureau,Bureau Compact,"Bureau Compact standard, finition chêne, 140 x 70 cm",140,70,,chêne,standard,165,300,10,bureau travail professionnel poste individuel chêne standard
BUR-0006,bureau,Bureau Bench,"Bureau Bench standard, finition chêne, 140 x 70 cm",140,70,,chêne,standard,165,280,15,bureau travail professionnel poste individuel chêne standard
BUR-0007,bureau,Bureau Bench,"Bureau Bench standard, finition blanc, 120 x 70 cm",120,70,,blanc,standard,190,320,34,bureau travail professionnel poste individuel blanc standard
BUR-0008,bureau,Bureau Direction,"Bureau Direction standard, finition noir, 180 x 80 cm",180,80,,noir,standard,185,325,22,bureau travail professionnel poste individuel noir standard
BUR-0009,bureau,Bureau Ergo,"Bureau Ergo standard, finition blanc, 140 x 70 cm",140,70,,blanc,standard,160,280,34,bureau travail professionnel poste individuel blanc standard
BUR-0010,bureau,Bureau Bench,"Bureau Bench standard, finition chêne, 180 x 80 cm",180,80,,chêne,standard,185,300,10,bureau travail professionnel poste individuel chêne standard
BUR-0011,bureau,Bureau Direction,"Bureau Direction premium, finition blanc, 160 x 80 cm",160,80,,blanc,premium,235,405,5,bureau travail professionnel poste individuel blanc premium
BUR-0012,bureau,Bureau Compact,"Bureau Compact premium, finition chêne, 160 x 80 cm",160,80,,chêne,premium,245,430,34,bureau travail professionnel poste individuel chêne premium
BUR-0013,bureau,Bureau Direction,"Bureau Direction premium, finition blanc, 120 x 70 cm",120,70,,blanc,premium,290,505,45,bureau travail professionnel poste individuel blanc premium
BUR-0014,bureau,Bureau Compact,"Bureau Compact premium, finition blanc, 160 x 80 cm",160,80,,blanc,premium,290,465,55,bureau travail professionnel poste individuel blanc premium
BUR-0015,bureau,Bureau Direction,"Bureau Direction premium, finition noir, 180 x 80 cm",180,80,,noir,premium,280,495,32,bureau travail professionnel poste individuel noir premium
BUR-0016,bureau,Bureau Bench,"Bureau Bench premium, finition blanc, 120 x 70 cm",120,70,,blanc,premium,250,450,21,bureau travail professionnel poste individuel blanc premium
BUR-0017,bureau,Bureau Ergo,"Bureau Ergo premium, finition chêne, 140 x 70 cm",140,70,,chêne,premium,265,435,34,bureau travail professionnel poste individuel chêne premium
BUR-0018,bureau,Bureau Compact,"Bureau Compact premium, finition blanc, 180 x 80 cm",180,80,,blanc,premium,245,435,11,bureau travail professionnel poste individuel blanc premium
BUR-0019,bureau,Bureau Direction,"Bureau Direction premium, finition chêne, 160 x 80 cm",160,80,,chêne,premium,295,475,46,bureau travail professionnel poste individuel chêne premium
BUR-0020,bureau,Bureau Direction,"Bureau Direction premium, finition blanc, 140 x 70 cm",140,70,,blanc,premium,220,400,45,bureau travail professionnel poste individuel blanc premium
CHA-0021,chaise,Chaise Ergo,"Chaise Ergo standard, finition noir",,,,noir,standard,95,170,21,chaise fauteuil siège ergonomique assise lombaire noir standard
CHA-0022,chaise,Chaise Flex,"Chaise Flex standard, finition noir",,,,noir,standard,95,160,23,chaise fauteuil siège ergonomique assise lombaire noir standard
CHA-0023,chaise,Chaise Ergo,"Chaise Ergo standard, finition bleu",,,,bleu,standard,95,155,58,chaise fauteuil siège ergonomique assise lombaire bleu standard
CHA-0024,chaise,Fauteuil Executive,"Fauteuil Executive standard, finition gris",,,,gris,standard,90,155,28,chaise fauteuil siège ergonomique assise lombaire gris standard
CHA-0025,chaise,Chaise Flex,"Chaise Flex standard, finition noir",,,,noir,standard,105,180,10,chaise fauteuil siège ergonomique assise lombaire noir standard
